# Complete the startup call, open OPTIONS, select SAVE, then close the authored
# ten-slot save list through its CANCEL row.
wait 50
wait 50
wait 55
click 160 170
wait 25
park 316 45
wait 25
click 125 118
wait 10
wait 10
wait 10
sclick 200 105
wait 20
wait 20
wait 20
wait 20
click 230 160
wait 20
sclick 100 95
wait 20
sclick 100 151
wait 10

# Reopen OPTIONS and exercise the sibling LOAD owner through the same authored
# list transition and CANCEL row.
park 316 45
wait 10
click 230 160
wait 20
sclick 100 106
wait 20
sclick 100 151
wait 10
